bangla_speech ,banglish_speech ,chittagong_bangla_speech ,chittagong_banglish_speech ,region_name ,english_speech
এসব সমস্যার সমাধান কোথায় পাবো,esob somossar somadhan kothay pabo,এসবোর ঝামেলার সমাধান হরে ফাইয়ুম,esbor jhamelar somadhan hore faiyum,Chittagong,Where can I find solutions to these problems?
আমি অনেক চেষ্টা করেছি যে আমার কোন ভুল আছে কিনা,ami onek cheshta korechi je amar kono vul ache kina,আই বঊত চেষ্টা গইজ্জি যে আর হোনো বুল আছে কিনা,ai bout cheshta gijji je ar hono bul ache kina,Chittagong,I've tried a lot to see if I'm doing something wrong
সে সবাই কে বলে আমি তো ওর সাথেই সংসার করি,she shobai ke bole ami to or sathei songsar kori,ইতে বেজ্ঞুনোরে হইয়্যে দে আই তো ইতার লয় সংসার গরি,ite beggunore hoiyee de ai to itar loy songsar gori,Chittagong,He tells everyone that I live with him
এমন না যে আমি দেখতে অসুন্দর,emon na je ami dekhte oshundor,এরিম্মা নাো দে আই দেহিতে সুন্দর নো,erimma nao de ai dehite shundor no,Chittagong,Not that I'm ugly
যে কেউ আমাকে এক দেখা তে পছন্দ করবে,je keu amake ek dekha te pochondo korbe,কোনিক্কা কেউ আরে এক দেহাত ফছন্দ করিবো,konikka keu are ek dehat fochondo koribo,Chittagong,Anyone would love to meet me
কোন উপায় পাইনা কি করব,kon upaina paina ki korbo,হনো উফায় নো ফাই যে কি কইজ্জুম,hono ufay no fai je ki koijjum,Chittagong,I have no way what to do
শুধু ছেলের মুখের দিকে তাকিয়ে চুপ করে আছি,shudhu cheler mukher dike takiye chup kore achi,উদু মাত্র ফুয়ার মুখোত  তাকিয়েরে চুপ গরি আছি,udu matro fuyar mukhot  takiyere chup gori achi,Chittagong,Just looking at my son's face I am silent
কিন্তু আমি বেঁচে থেকে মরে আছি,kintu ami beche theke more achi,কিন্ত আই বাচি থাকিয়েরে মরি গিয়ি,kinto ai baci thakiyere mori giyi,Chittagong,But I live and die
আমি আমার স্বামীর ভালবাসা চাই,ami amar samir valobasha chai,আই আরি জামাইয়োর বালোবাসা সাই,ai ari jamaiyor balobasa sai,Chittagong,I want my husband's love
আমার পরিবারের সবার সাথে ও কথা বলুক এটা চাই,amar poribarer sobar sathe o kotha boluk eta chai,আর ফরিবার বেগুনের লয় ও হতা খোক ইবা চাই,ar foribar beguner loy o hota khok iba chai,Chittagong,I want it to talk to all my family
আমার বাবা মা অনেক বার মাফ চাইছে,amar baba ma onek bar maf caiche,আর বাবা মা বোত বার মাফ সাইয়ে,ar baba ma bot bar maf saiye,Chittagong,My parents are asking for forgiveness many times
যা হইছে হয়ে গেছে তোমার কথাই মানলাম আমাদের দোষ ,ja hoiche hoye geche tomar kothai manlam amader dosh,যিবা ওইয়ে ওয় গিয়োয় তুয়ার হতাই নো মানিলে আরোর দোষ,jiba oiye oy giyoy tuyar hotai no manile aror dosh,Chittagong,Whatever happened is our fault
আমি চাইলেই আমার বাবার বাসায় চলে যেতে পারি,ami chailei amar babar basay chole jete pari,আই  সাইলেও আর বাবার বাসায় চলি যাইত ফারি,ai  saileo ar babar basay choli jait fari,Chittagong,I can go to my father's house whenever I want
সমাজের মানুষ নানান কথা বলবে,somajer manush nanan kotha bolbe,সমাজোর মানুষ বোত হতা খইবো,somajor manush bot hota khoibo,Chittagong,People in society will say different things
আমার বাবা অসুস্থ হয়ে যাবে,amar baba oshustho hoye jabe,আর বাবা বেরাইম্মা অয় যাইবো,ar baba beraimma oy jaibo,Chittagong,My father will fall ill
সে এখন নিজে মুখেই বলে তোমার সাথে আবার ও সব ঠিক করছি,se ekhon nije mukhei bole tomar sathe abar o shob thik korchi,ইতে এহন নিজোর মুখোত কইয়েরে তুয়ার লাই আবার বেজ্ঞুন টীক কইজ্জে,ite ehon nijor mukhot kiyere tuyar lai abar beggun tik koijje,Chittagong,He now says in his own mouth that he is fixing everything with you again
অন্য কোথাও বিয়ে করে ভালো থাকবা তা কীভাবে হয়,onno kothao biye kore valo thakba ta kivabe hoy,আরেক জায়াগাত বিয়া গরি গম থাহিবা কেনে ওইবো,arek jayagat biya gori gom thahiba kene oibo,Chittagong,How about getting married somewhere else?
সে বাহিরে যা ইচ্ছা করবে বউ হিসাবে আমাকে রাখবে,se bahire ja iccha korbe bou hishabe amake rakhbe,ইতে বাইজ্জা যা ইচ্ছা গরিবো বঊ হিসাবোত আরে রাখিবো,ite baijja ja iccha goribo bou hisabot are rakhibo,Chittagong,He will keep me as wife whatever he wants outside
এদিকে আমার পরিবারের সাথে সম্পর্ক রাখবে না ,edike amar poribarer sathe somporko rakhbe na,এরে আর ফরিবারের লয় সম্পর্ক নো রাইক্কম,ere ar foribarer loy somporko no raikkom,Chittagong,"Meanwhile, don't keep in touch with my family"
আমাকে অনেক মারত,amake onek marto,আরে বেশি মারিতো,are beshi marito,Chittagong,He beat me a lot
ছেলেটার ভবিষ্যতের কথা ভেবে চুপ করে আছি,cheletar vobisshoter kotha vebe chup kore achi,ফুয়াার ববিশোতোর হতা বাবিয়েরে চুপ গরি আছি,fuyaar bobishotor hota babiyere chup gori achi,Chittagong,I am silent thinking about the boy's future
আমার বাবা মাও এটা নিয়ে অনেক কষ্ট পাচ্ছে,amar baba mao eta niye onek koshto pacche,আর বাবা মাও এবা লয় বোত হষ্ট ফার,ar baba mao eba loy bot hoshto far,Chittagong,My parents are also suffering from it
আমি বড় মেয়ে আমার ছোট বোন আছে শুধু,ami boro meye amar choto bon ache shudhu,আর ডোর মাইয়ে  শুধু   ছুডো বোন আছে,ar dor maiye  shudhu chudo bon ache,Chittagong,I am the eldest daughter and I only have a younger sister
আপনার পরামর্শ দেন আমি কি করব,apnar poramorsho den ami ki korbo,ওনোর  ফরামর্শ দেতোক আই কি কইজ্জুম,onor  foramorsho detok ai ki koijjum,Chittagong,What do you advise me to do?
দিন দিন মানসিক ভাবে অসুস্থ হয়ে যাচ্ছি,din din manoshik vabe oshustho hoye jacchi,দিন দিন মানসিক অসুস্থ ওয় যাইর গয়,din din manosik osustho oy jair goy,Chittagong,I am getting mentally sick day by day
কোন কথা খারাপ লাগলে দয়া করে মাফ করবেন,kono kotha kharap lagle doya kore maf korben,কুনো হতা খারাপ লাগিলে দয়া করি মাফ গরি দিয়োন,kuno hota kharap lagile doya kori maf gori diyon,Chittagong,Please forgive me for any offense
আমি প্রেম করে বিয়ে করেছি,ami prem kore biye korechi,আই ফিরিত গরি বিয়া কইজ্জি,ai firit gori biya koijji,Chittagong,I married for love
আমি আমার স্বামীকে অনেক ভালোবাসি,ami amar sbamike onek valobashi,আর জামাইরে বেশি বালোবাসি,ar jamaire beshi balobasi,Chittagong,I love my husband very much
