bangla_speech ,banglish_speech ,sylhet_bangla_speech ,sylhet_banglish_speech ,region_name ,english_speech
দয়া করে তুমি তোমার পরিবারের পছন্দে বিয়ে করে ফেলো,doya kore tumi tomar poribarer pochonde biye kore felo,দয়া খরি তুমি তুমার পরিবারর ফছন্দে বিয়া খরি লাও,doya khori tumi tumar poribaror fochonde biya khori lao,Sylhet,Please marry your family's choice
এই সাহস আমার নাই,ei shahos amar nai,অউ সাহস মোর নাই,ou sahos mor nai,Sylhet,I don't have this courage
আমাকে ভালোবাসলে এইটুকু উপকার করো পায়ে পড়ি তোমার ,amake valobasle eituku upokar koro paye pori tomar ,মোরে ভালাপাইয়া থাখলে অতোখান উফোকার খরো পায়ো পড়ি তুমার,more valapaiya thakhle otokhan ufokar khoro payo pori tumar,Sylhet,"If you love me, please do me this favor"
সব কিছু শুনে বুঝলাম যে এখন আর এখানে থেকে কোন লাভ হবে না,sob kichu shune bujhlam je ekhon ar ekhane theke kono lav hobe na,হখলতা হুনিয়া বুঝলাম যে এখন আর ইকানো থাকিয়া কুনো লাভ অইতো নায়,hokholta huniya bujhlam je ekhon ar ikano thakiya kuno lav oito nay,Sylhet,"After hearing everything, I understood that there will be no profit from here"
তোর বড় ভাইকেই বিয়ে করতে হবে এখন,tor boro vaikei biye korte hobe ekhon,তর বড় ভাইরেউ বিয়া খরা লাগবো এখন,tor bor vaireu biya khora lagbo ekhon,Sylhet,Your elder brother has to get married now
বাড়ীতে বললাম আমি এই বিয়েতে রাজি,barite bollam ami ei biyete raji,বাড়িত কইলাম আমি অউ বিয়াত রাজি,barit koilam ami ou biyat raji,Sylhet,At home I said I agree to this marriage
যত তাড়াতাড়ি সম্ভব বিয়ের ব্যবস্থা করো,joto taratari somvob biyer bebostha koro,যত জলদি সম্ভব বিয়ার ব্যবস্থা খরো,joto joldi somvob biyar bebostha khoro,Sylhet,Arrange marriage as soon as possible
১৫ দিনের মধ্যেই আমাদের বিয়ে হইলো,১৫ diner moddhei amader biye hoilo,পন্ডো দিনর মাঝে আমরার বিয়া অইলো,pondo dinor majhe amrar biya oilo,Sylhet,We got married within 15 days
এই কাহিনী পুরোটা শুনে আমি অবাক,ei kahini purota shune ami obak,অউ কাহিনী আস্তাটা হুনিয়া মুই তাইজ্জব ,ou kahini astata huniya mui taijjob,Sylhet,I am surprised to hear this whole story
আমি একটা খুব বড় সমস্যায় পড়েছি দয়া করে কেউ হাসাহাসি করবেন না,ami ekta khub boro somossay porechi doya kore keu hasahasi korben na,মুই এখটা বিরাট সমস্যাত পড়ছি দয়া খরি খেউ হাসাহাসি খরবা না,mui ekhta birat somossat porchi doya khori kheu hasahasi khorba na,Sylhet,I am in a very big problem please no one laugh
আমার গার্লফ্রেন্ড এর পরিবারের ডিফেন্স এর জব নাকি পছন্দ না,amar girlfriend er poribarer defense er job naki pochondo na,মোর গার্লফ্রেন্ডর পরিবারর বুজি ডিফেন্সর জব ফছন্দ না,mor girlfriend'or poribaror buji defense'or job fochondo na,Sylhet,I don't like the job of defense of my girlfriend's family
তবে আমার গার্লফ্রেন্ড আমাকে বলেছে আমি তাকে যেভাবে রাখবো সে সেভাবেই থাকবে,tobe amar girlfriend amake boleche ami take jevabe rakhbo se sevabei thakbe,তেবো মোর গার্লফ্রেন্ড মোরে খইছে মুই তাইরে যেলা রাখমু তাই হলাউ থাখবো,tebo mor girlfriend more khoiche mui taire jela rakhmu tai holau thakhbo,Sylhet,But my girlfriend told me she'll stay the way I put her
তাই আমি তাকে লুকিয়ে বিয়ে করতে চাই,tai ami take lukiye biye korte chai,এর দায় আমি তাইরে লুকাইয়া বিয়া খরতাম চাই,er day ami taire lukaiya biya khortam chai,Sylhet,So I want to marry her secretly
আমার গার্লফ্রেন্ড এর বয়স ১৯ বছর,amar girlfriend er boyos ১৯ bochor,মোর গাার্লফ্রেন্ডর বয়স উন্নিশ বৎসর,mor gaarlofrendor boyos unnish botosor,Sylhet,My girlfriend is 19 years old
আমি চাচ্ছি ট্রেনিং থেকে ফিরেই তাকে বিয়ে করতে,ami chacchi training  theke firei take biye korte,মুই  চাইরাম ট্রেনিং থাকি ফিরিয়াউ তাইরে বিয়া খরিলতাম,mui  chairam training thaki firiyau taire biya khoriltam,Sylhet,I want to marry him after training
যদি লুকিয়ে বিয়ে করি পরবর্তীতে কি তার ফ্যামিলি কোনো সমস্যা করতে পারবে?,jodi lukiye biye kori porobortite ki tar family kono somossa korte parbe?,যদি লুকাইয়া বিয়া খরি তে বাদেদি তাইর ফ্যামিলি কুনো সমস্যা খরতো পারবো নি?,jodi lukaiya biya khori te badedi tair family  kuno somossa khorto parbo ni?,Sylhet,"If we marry secretly, can his family have any problems later?"
আমাদের ফ্যামিলি থেকে ওদের ফ্যামিলি অনেক বড়লোক,amader family theke oder family onek borolok,আমরার ফ্যামিলি থাকি তারার ফ্যামিলি বাক্কা ধনী,amrar family thaki tarar family bakka dhoni,Sylhet,Their family is much bigger than our family
আমি গ্রামের ছেলে ঢাকাতে একটা প্রাইভেট বিশ্ববিদ্যালয়ে পড়াশোনা করি,ami gramer chele dhakate ekta private bisshobiddaloye porashona kori,মুই গাউর ফুয়া ঢাকাত এখটা প্রাইভেট বিশ্ববিদ্যালয়ো পড়িয়ার,mui gaur fuya dhakat ekhta private bishobiddaloyo poriyar,Sylhet,I am a village boy studying in a private university in Dhaka
তার সাথে পরিচয় তাকে প্রাইভেট পড়াতে গিয়ে,tar sathe porichoy take private porate giye,তাইর লগে পরিচয় তাইরে প্রাইভেট পড়ানিত গিয়া,tair loge porichoy taire rpivate poranit giya,Sylhet,Met him while tutoring him privately
দয়া করে পরামর্শ দিন বিয়ের পরে কি তার পরিবার কোনো সমস্যা করতে পারবে?,doya kore poramorsho din biyer pore ki tar poribar kono somossa korte parbe?,দয়া খরি পরামর্শ দেইন বিয়ার বাদে কিতা তাইর পরিবার কুনো সমস্যা খরতো পারবো নি? ,doya khori poramorsho dein biyar bade kita tair poribar kuno somossa khorto parbo ni?,Sylhet,Please advise whether her family will face any problem after marriage?
